id,nom,insee,adresse,emplacements,statut,latitude,longitude
75102-T-222,Rue de la Paix,75102,13 RUE DE LA PAIX,4.0,en service,48.869330064735486,"2.331093630696817"
75103-T-227,Boulevard Saint-Denis,75103,7 BOULEVARD SAINT-DENIS,10.0,en service,48.86904539917889,"2.354725780016315"
75119-T-102,Flandres - Argone,75119,152 AVENUE DE FLANDRE,6.0,en service,48.89392890779952,"2.3807130666814147"
75119-T-101,Porte des Lilas,75119,2 AVENUE DE LA PORTE DES LILAS,12.0,en service,48.87831406269205,"2.4101605544229674"
75109-T-317,La Fayette / Le Peletier,75109,44 RUE LA FAYETTE,4.0,en service,48.87490897752145,"2.3401887496625284"
75109-T-324,Havre,75109,1 RUE DU HAVRE,4.0,en service,48.87414658772309,"2.326476311640309"
75110-T-332,Saint-Martin Faubourg / Gare de l'Est,75110,147 RUE DU FAUBOURG SAINT-MARTIN,25.0,en service,48.87684775498742,"2.3607810811867855"
75107-T-255,Bac,75107,142 RUE DU BAC,9.0,en service,48.85081086828551,"2.3237789247313585"
75108-T-265,Montaigne / François 1er,75108,41 AVENUE MONTAIGNE,11.0,en service,48.867308888183004,"2.306434432741967"
75108-T-268,Malesherbes / Laborde,75108,55 BOULEVARD MALESHERBES,3.0,en service,48.87575012344976,"2.31846525158127"
75112-T-364,Reuilly / Erard,75112,37 RUE DE REUILLY,2.0,en service,48.846781197180796,"2.3873527839204316"
75113-T-370,Tolbiac / Vergnaud,75113,225 RUE DE TOLBIAC,5.0,en service,48.82577605632897,"2.3455974636572003"
75101-T-212,Louvre,75101,17 RUE DU LOUVRE,4.0,en service,48.86412558037499,"2.3423195184348344"
75113-T-057,Porte de Choisy,75113,119 BOULEVARD MASSENA,8.0,en service,48.819355004006276,"2.363622579127808"
75112-T-044,Bastille,75112,10 PLACE DE LA BASTILLE,9.0,en service,48.853095613641415,"2.3698595291414475"
75115-T-068,La Motte-Picquet Grenelle,75115,66 AVENUE DE LA MOTTE-PICQUET,12.0,en service,48.84950073973344,"2.2981621487359516"
75106-T-017,Port Royal - Observatoire,75106,18 AVENUE DE L'OBSERVATOIRE,3.0,en service,48.8405820250022,"2.3367325840669864"
75109-T-316,La Fayette/ Le Peletier,75109,32 Rue Le Peletier,5.0,en service,48.87445407455549,"2.339134757775101"
75111-T-041,Mairie du 11è - Léon Blum,75111,PLACE LÉON BLUM,8.0,en service,48.85802200479088,"2.380096711412443"
75108-T-296,Champs Elysées /Bauchart,75108,91 AVENUE DES CHAMPS ELYSEES,3.0,en service,48.87116742101719,"2.302109110378526"
75112-T-357,Terroirs de France,75112,26 AVENUE DES TERROIRS DE FRANCE,9.0,en service,48.83150302784172,"2.38807413597248"
75108-T-929,Rue François Ier,75108,41 RUE FRANÇOIS IER,3.0,en service,48.86890520377347,"2.3031443695431806"
75120-T-486,Charonne / Avron,75120,44 RUE DE CHARONNE,4.0,en service,48.85121876662204,"2.398570601471786"
75120-T-113,Père Lachaise - Ménilmontant,75120,26 BOULEVARD DE MÉNILMONTANT,12.0,en service,48.85970998512391,"2.3890000575353527"
75115-T-404,Morillons / Dantzig,75115,35 RUE DES MORILLONS,9.0,en service,48.83346288578793,"2.2990275258514794"
75109-T-318,Scribe Impair,75109,2 RUE SCRIBE,4.0,en service,48.87076776152817,"2.3302703656204735"
75109-T-306,Haussmann / Laffitte,75109,10 BOULEVARD HAUSSMANN,4.0,en service,48.87230033805631,"2.3389217263012982"
75108-T-263,Marceau/Intercontinental,75108,64 AVENUE MARCEAU,9.0,en service,48.87084972543335,"2.2978737740870163"
75115-T-397,Place Etienne-Pernet,75115,20 PLACE ETIENNE PERNET,5.0,en service,48.84296780853331,"2.29202471624356"
75117-T-451,Pereire / Tocqueville,75117,55 BOULEVARD PEREIRE,6.0,en service,48.88741644590665,"2.307330507516014"
75118-T-465,Clichy / Houdon,75118,16 BOULEVARD DE CLICHY,12.0,en service,48.882438334643524,"2.3380072197135875"
75119-T-474,Flandre / Ourcq,75119,110 AVENUE DE FLANDRE,5.0,en service,48.8917800717628,"2.3785690849015095"
75119-T-476,Serurier / Philarmonie,75119,185 BOULEVARD SERURIER,24.0,en service,48.890628729837665,"2.3950560968528047"
75119-T-477,Belleville/Place du général Ingold,75119,6 RUE DE BELLEVILLE,5.0,en service,48.87223395113604,"2.377210881371872"
75112-T-049,Mairie du 12ème,75112,157 AVENUE DAUMESNIL,6.0,en service,48.84128002495563,"2.3880550940863228"
75113-T-053,Abbé Georges Hénocque,75113,8 PLACE DE L'ABBÉ GEORGES HÉNOCQUE,2.0,en service,48.823624711756274,"2.352919316058243"
75116-T-073,Porte de Saint Cloud,75116,5 PLACE DE LA PORTE DE SAINT-CLOUD,9.0,en service,48.837471713152404,"2.2576158201272665"
75117-T-084,Porte Maillot,75117,80 AVENUE DE LA GRANDE ARMÉE,57.0,en service,48.87748351082448,"2.28451824978396"
75107-T-025,La Tour Maubourg - Invalides,75107,58 BOULEVARD DE LA TOUR-MAUBOURG,10.0,en service,48.857948977029736,"2.309788238548364"
75102-T-005,Opéra,75102,4 PLACE DE L OPERA,4.0,en service,48.8704409760417,"2.3328322325270836"
75101-T-004,Place Vendôme,75101,25 PLACE VENDOME,6.0,en service,48.86826891448731,"2.330031609133001"
75108-T-282,Myron Herrick,75108,3 AVENUE MYRON HERRICK,7.0,en service,48.87330582274874,"2.3099129379392953"
75116-T-427,Mozart / Ranelagh,75116,48 AVENUE MOZART,6.0,en service,48.85542991007948,"2.270009684090198"
75116-T-438,Marceau / Chaillot,75116,45 AVENUE MARCEAU,7.0,en service,48.8687340150263,"2.298653102574208"
75116-T-437,Porte Maillot - Hackin,75116,3  / VOIE AS/16,4.0,en service,48.87800997260129,"2.280671960457252"
