id;nom;insee;adresse;emplacements;no_appel;info;statut;geo_shape;geopoint;geopoint_datagouv
75109-T-305;Haussmann /Chauchat;75109;2 BOULEVARD HAUSSMANN;8;;;en service;"{""coordinates"": [2.3398079807053564, 48.872182843661385], ""type"": ""Point""}";48.872182843661385, 2.3398079807053564;2.3398079807053564, 48.872182843661385
75107-T-249;La bourdonnais;75107;40 AVENUE DE LA BOURDONNAIS;8;;;en service;"{""coordinates"": [2.2995593280768487, 48.857854197787745], ""type"": ""Point""}";48.857854197787745, 2.2995593280768487;2.2995593280768487, 48.857854197787745
75108-T-262;Hoche/Hotel Royal Monceau;75108;32 AVENUE HOCHE;7;;;en service;"{""coordinates"": [2.2997220696962075, 48.87593236978811], ""type"": ""Point""}";48.87593236978811, 2.2997220696962075;2.2997220696962075, 48.87593236978811
75112-T-356;Daumesnil / Diderot;75112;81 AVENUE DAUMESNIL;4;;;en service;"{""coordinates"": [2.3784955796875886, 48.845969531640726], ""type"": ""Point""}";48.845969531640726, 2.3784955796875886;2.3784955796875886, 48.845969531640726
75112-T-360;Diderot / Daumesnil;75112;31 BOULEVARD DIDEROT;2;;;en service;"{""coordinates"": [2.377032437290796, 48.84626568869988], ""type"": ""Point""}";48.84626568869988, 2.377032437290796;2.377032437290796, 48.84626568869988
75113-T-368;Vincent Auriol / Nationale;75113;155 BOULEVARD VINCENT AURIOL;7;;;en service;"{""coordinates"": [2.361453653245753, 48.832371579712984], ""type"": ""Point""}";48.832371579712984, 2.361453653245753;2.361453653245753, 48.832371579712984
75117-T-449;Niel / Place Aimé Maillard;75117;34 AVENUE NIEL;6;;;en service;"{""coordinates"": [2.2955189598106513, 48.881404412809886], ""type"": ""Point""}";48.881404412809886, 2.2955189598106513;2.2955189598106513, 48.881404412809886
75117-T-462;Fragonard / porte de Clichy;75117;1 RUE FRAGONARD;9;;;en service;"{""coordinates"": [2.3142643859996115, 48.89414747144262], ""type"": ""Point""}";48.89414747144262, 2.3142643859996115;2.3142643859996115, 48.89414747144262
75114-T-376;Faubourg Saint-Jacques / Hôpital Cochin;75114;20 RUE DU FAUBOURG SAINT-JACQUES;8;;;en service;"{""coordinates"": [2.3389515923415205, 48.83767669197792], ""type"": ""Point""}";48.83767669197792, 2.3389515923415205;2.3389515923415205, 48.83767669197792
75118-T-469;La Chapelle / Faubourg Saint-Denis;75118;39 BOULEVARD DE LA CHAPELLE;3;;;en service;"{""coordinates"": [2.3594994580040156, 48.89280706078629], ""type"": ""Point""}";48.89280706078629, 2.3594994580040156;2.3594994580040156, 48.89280706078629
75109-T-035;Notre Dame de Lorette;75109;5 RUE FLÉCHIER;11;;;en service;"{""coordinates"": [2.339271088315523, 48.87661895031568], ""type"": ""Point""}";48.87661895031568, 2.339271088315523;2.339271088315523, 48.87661895031568
75118-T-092;Mairie du 18ème;75118;30 RUE HERMEL;13;0146060000;;en service;"{""coordinates"": [2.3451896400136283, 48.892575078758], ""type"": ""Point""}";48.892575078758, 2.3451896400136283;2.3451896400136283, 48.892575078758
75105-T-012;Panthéon;75105;26 RUE SOUFFLOT;10;0146330000;;en service;"{""coordinates"": [2.3413529130810913, 48.84738075800013], ""type"": ""Point""}";48.84738075800013, 2.3413529130810913;2.3413529130810913, 48.84738075800013
75106-T-015;Saint-Germain-des-Près;75106;151 BOULEVARD SAINT-GERMAIN;10;;;en service;"{""coordinates"": [2.3324349921963687, 48.85376769040898], ""type"": ""Point""}";48.85376769040898, 2.3324349921963687;2.3324349921963687, 48.85376769040898
75117-T-089;Porte de Clichy - Tribunal de Paris;75117;13 AVENUE DE LA PORTE DE CLICHY;5;;;en service;"{""coordinates"": [2.312493542622323, 48.89464930950952], ""type"": ""Point""}";48.89464930950952, 2.312493542622323;2.312493542622323, 48.89464930950952
